"","country","year","population"
"1","Afghanistan","1980",15.0436
"2","Afghanistan","1981",13.67368
"3","Afghanistan","1982",12.57743
"4","Afghanistan","1983",12.43058
"5","Afghanistan","1984",12.75384
"6","Afghanistan","1985",13.09371
"7","Afghanistan","1986",13.08496
"8","Afghanistan","1987",12.99949
"9","Afghanistan","1988",13.09382
"10","Afghanistan","1989",13.40714
"11","Afghanistan","1990",13.44937
"12","Afghanistan","1991",13.52717
"13","Afghanistan","1992",14.8552
"14","Afghanistan","1993",16.81974
"15","Afghanistan","1994",18.28771
"16","Afghanistan","1995",19.22594
"17","Afghanistan","1996",19.86465
"18","Afghanistan","1997",20.49022
"19","Afghanistan","1998",21.13212
"20","Afghanistan","1999",21.82157
"21","Afghanistan","2000",22.02095
"22","Afghanistan","2001",22.0222
"23","Afghanistan","2002",23.05074
"24","Afghanistan","2003",24.38858
"25","Afghanistan","2004",25.00134
"26","Afghanistan","2005",25.53805
"27","Afghanistan","2006",26.23521
"28","Afghanistan","2007",26.91153
"29","Afghanistan","2008",27.65889
"30","Afghanistan","2009",28.39572
"31","Afghanistan","2010",29.12129
"32","Africa","1980",478.96479
"33","Africa","1981",493.63386
"34","Africa","1982",508.69882
"35","Africa","1983",523.66026
"36","Africa","1984",538.6777
"37","Africa","1985",553.7385
"38","Africa","1986",569.05927
"39","Africa","1987",584.06285
"40","Africa","1988",599.18529
"41","Africa","1989",614.7485
"42","Africa","1990",630.91638
"43","Africa","1991",647.76698
"44","Africa","1992",664.43368
"45","Africa","1993",680.91751
"46","Africa","1994",696.76671
"47","Africa","1995",713.37126
"48","Africa","1996",730.48755
"49","Africa","1997",747.90581
"50","Africa","1998",765.93193
"51","Africa","1999",784.59937
"52","Africa","2000",803.61288
"53","Africa","2001",823.10298
"54","Africa","2002",843.06171
"55","Africa","2003",863.1923
"56","Africa","2004",883.59024
"57","Africa","2005",904.41715
"58","Africa","2006",925.68403
"59","Africa","2007",947.55885
"60","Africa","2008",969.97221
"61","Africa","2009",992.58225
"62","Africa","2010",1015.47842
"63","Albania","1980",2.67141
"64","Albania","1981",2.72427
"65","Albania","1982",2.7801
"66","Albania","1983",2.83732
"67","Albania","1984",2.896
"68","Albania","1985",2.9567
"69","Albania","1986",3.01544
"70","Albania","1987",3.07532
"71","Albania","1988",3.13684
"72","Albania","1989",3.1958
"73","Albania","1990",3.24493
"74","Albania","1991",3.18105
"75","Albania","1992",3.07201
"76","Albania","1993",3.06629
"77","Albania","1994",3.11116
"78","Albania","1995",3.15815
"79","Albania","1996",3.2036
"80","Albania","1997",3.22541
"81","Albania","1998",3.21277
"82","Albania","1999",3.18733
"83","Albania","2000",3.15835
"84","Albania","2001",3.128
"85","Albania","2002",3.09803
"86","Albania","2003",3.06967
"87","Albania","2004",3.04564
"88","Albania","2005",3.02453
"89","Albania","2006",3.00578
"90","Albania","2007",2.99158
"91","Albania","2008",2.98412
"92","Albania","2009",2.98254
"93","Albania","2010",2.98695
"94","Algeria","1980",18.80606
"95","Algeria","1981",19.40704
"96","Algeria","1982",20.03375
"97","Algeria","1983",20.68098
"98","Algeria","1984",21.34055
"99","Algeria","1985",22.00845
"100","Algeria","1986",22.64254
"101","Algeria","1987",23.25496
"102","Algeria","1988",23.88077
"103","Algeria","1989",24.49631
"104","Algeria","1990",25.08903
"105","Algeria","1991",25.68708
"106","Algeria","1992",26.29845
"107","Algeria","1993",26.91644
"108","Algeria","1994",27.52148
"109","Algeria","1995",28.08915
"110","Algeria","1996",28.60404
"111","Algeria","1997",29.08356
"112","Algeria","1998",29.53558
"113","Algeria","1999",29.97982
"114","Algeria","2000",30.42923
"115","Algeria","2001",30.87431
"116","Algeria","2002",31.31248
"117","Algeria","2003",31.7409
"118","Algeria","2004",32.15767
"119","Algeria","2005",32.56074
"120","Algeria","2006",32.95925
"121","Algeria","2007",33.36274
"122","Algeria","2008",33.76967
"123","Algeria","2009",34.17819
"124","Algeria","2010",34.58618
"125","American Samoa","1980",0.03242
"126","American Samoa","1981",0.0336
"127","American Samoa","1982",0.03471
"128","American Samoa","1983",0.03584
"129","American Samoa","1984",0.03709
"130","American Samoa","1985",0.03863
"131","American Samoa","1986",0.04016
"132","American Samoa","1987",0.04188
"133","American Samoa","1988",0.04362
"134","American Samoa","1989",0.04538
"135","American Samoa","1990",0.0472
"136","American Samoa","1991",0.04857
"137","American Samoa","1992",0.04995
"138","American Samoa","1993",0.05138
"139","American Samoa","1994",0.05273
"140","American Samoa","1995",0.05391
"141","American Samoa","1996",0.05496
"142","American Samoa","1997",0.05597
"143","American Samoa","1998",0.05693
"144","American Samoa","1999",0.05785
"145","American Samoa","2000",0.05777
"146","American Samoa","2001",0.05874
"147","American Samoa","2002",0.05964
"148","American Samoa","2003",0.0605
"149","American Samoa","2004",0.06146
"150","American Samoa","2005",0.0624
"151","American Samoa","2006",0.06322
"152","American Samoa","2007",0.06403
"153","American Samoa","2008",0.06483
"154","American Samoa","2009",0.06563
"155","American Samoa","2010",0.06643
"156","Angola","1980",6.74308
"157","Angola","1981",6.87957
"158","Angola","1982",7.01853
"159","Angola","1983",7.24054
"160","Angola","1984",7.44245
"161","Angola","1985",7.58471
"162","Angola","1986",7.74863
"163","Angola","1987",7.8784
"164","Angola","1988",8.02339
"165","Angola","1989",8.15384
"166","Angola","1990",8.29661
"167","Angola","1991",8.49681
"168","Angola","1992",8.74184
"169","Angola","1993",8.96626
"170","Angola","1994",9.17228
"171","Angola","1995",9.41912
"172","Angola","1996",9.65061
"173","Angola","1997",9.85558
"174","Angola","1998",10.03917
"175","Angola","1999",10.21544
"176","Angola","2000",10.37727
"177","Angola","2001",10.53839
"178","Angola","2002",10.76051
"179","Angola","2003",11.05709
"180","Angola","2004",11.39113
"181","Angola","2005",11.70695
"182","Angola","2006",11.99281
"183","Angola","2007",12.2636
"184","Angola","2008",12.53136
"185","Angola","2009",12.79929
"186","Angola","2010",13.06816
"187","Antigua and Barbuda","1980",0.06855
"188","Antigua and Barbuda","1981",0.06826
"189","Antigua and Barbuda","1982",0.06801
"190","Antigua and Barbuda","1983",0.06562
"191","Antigua and Barbuda","1984",0.06447
"192","Antigua and Barbuda","1985",0.0644
"193","Antigua and Barbuda","1986",0.0644
"194","Antigua and Barbuda","1987",0.06442
"195","Antigua and Barbuda","1988",0.06443
"196","Antigua and Barbuda","1989",0.06439
"197","Antigua and Barbuda","1990",0.06416
"198","Antigua and Barbuda","1991",0.06403
"199","Antigua and Barbuda","1992",0.06518
"200","Antigua and Barbuda","1993",0.06633
"201","Antigua and Barbuda","1994",0.06749
"202","Antigua and Barbuda","1995",0.06871
"203","Antigua and Barbuda","1996",0.07006
"204","Antigua and Barbuda","1997",0.07145
"205","Antigua and Barbuda","1998",0.07278
"206","Antigua and Barbuda","1999",0.07402
"207","Antigua and Barbuda","2000",0.07535
"208","Antigua and Barbuda","2001",0.07673
"209","Antigua and Barbuda","2002",0.07794
"210","Antigua and Barbuda","2003",0.07907
"211","Antigua and Barbuda","2004",0.08019
"212","Antigua and Barbuda","2005",0.08128
"213","Antigua and Barbuda","2006",0.08234
"214","Antigua and Barbuda","2007",0.08343
"215","Antigua and Barbuda","2008",0.08452
"216","Antigua and Barbuda","2009",0.08563
"217","Antigua and Barbuda","2010",0.08675
"218","Argentina","1980",28.3698
"219","Argentina","1981",28.84806
"220","Argentina","1982",29.32988
"221","Argentina","1983",29.79355
"222","Argentina","1984",30.23064
"223","Argentina","1985",30.67176
"224","Argentina","1986",31.14499
"225","Argentina","1987",31.62462
"226","Argentina","1988",32.09932
"227","Argentina","1989",32.57162
"228","Argentina","1990",33.03558
"229","Argentina","1991",33.50441
"230","Argentina","1992",33.96685
"231","Argentina","1993",34.40715
"232","Argentina","1994",34.84689
"233","Argentina","1995",35.27384
"234","Argentina","1996",35.68296
"235","Argentina","1997",36.10216
"236","Argentina","1998",36.51792
"237","Argentina","1999",36.92342
"238","Argentina","2000",37.33565
"239","Argentina","2001",37.69417
"240","Argentina","2002",37.99945
"241","Argentina","2003",38.33688
"242","Argentina","2004",38.74183
"243","Argentina","2005",39.18126
"244","Argentina","2006",39.61443
"245","Argentina","2007",40.04882
"246","Argentina","2008",40.482
"247","Argentina","2009",40.91358
"248","Argentina","2010",41.3432
"249","Armenia","1992",3.37833
"250","Armenia","1993",3.23157
"251","Armenia","1994",3.12609
"252","Armenia","1995",3.06875
"253","Armenia","1996",3.0634
"254","Armenia","1997",3.059
"255","Armenia","1998",3.04915
"256","Armenia","1999",3.04762
"257","Armenia","2000",3.04256
"258","Armenia","2001",3.02759
"259","Armenia","2002",3.01382
"260","Armenia","2003",3.00171
"261","Armenia","2004",2.99136
"262","Armenia","2005",2.9829
"263","Armenia","2006",2.97637
"264","Armenia","2007",2.97165
"265","Armenia","2008",2.96859
"266","Armenia","2009",2.967
"267","Armenia","2010",2.9668
"268","Aruba","1986",0.0598
"269","Aruba","1987",0.05918
"270","Aruba","1988",0.0595
"271","Aruba","1989",0.06069
"272","Aruba","1990",0.06303
"273","Aruba","1991",0.0663
"274","Aruba","1992",0.06948
"275","Aruba","1993",0.07407
"276","Aruba","1994",0.07785
"277","Aruba","1995",0.07996
"278","Aruba","1996",0.08307
"279","Aruba","1997",0.08621
"280","Aruba","1998",0.0882
"281","Aruba","1999",0.08926
"282","Aruba","2000",0.09
"283","Aruba","2001",0.09097
"284","Aruba","2002",0.09217
"285","Aruba","2003",0.09372
"286","Aruba","2004",0.09546
"287","Aruba","2005",0.09698
"288","Aruba","2006",0.0985
"289","Aruba","2007",0.10002
"290","Aruba","2008",0.10154
"291","Aruba","2009",0.10307
"292","Aruba","2010",0.10459
"293","Asia & Oceania","1980",2469.81743
"294","Asia & Oceania","1981",2518.13689
"295","Asia & Oceania","1982",2563.52187
"296","Asia & Oceania","1983",2610.10261
"297","Asia & Oceania","1984",2655.88059
"298","Asia & Oceania","1985",2702.75408
"299","Asia & Oceania","1986",2751.06581
"300","Asia & Oceania","1987",2802.31491
"301","Asia & Oceania","1988",2853.88173
"302","Asia & Oceania","1989",2904.74454
"303","Asia & Oceania","1990",2954.74639
"304","Asia & Oceania","1991",3002.08385
"305","Asia & Oceania","1992",3049.4639
"306","Asia & Oceania","1993",3097.01107
"307","Asia & Oceania","1994",3144.70448
"308","Asia & Oceania","1995",3191.91196
"309","Asia & Oceania","1996",3238.06006
"310","Asia & Oceania","1997",3282.33448
"311","Asia & Oceania","1998",3325.29036
"312","Asia & Oceania","1999",3367.43739
"313","Asia & Oceania","2000",3408.81144
"314","Asia & Oceania","2001",3450.06017
"315","Asia & Oceania","2002",3490.97008
"316","Asia & Oceania","2003",3531.28903
"317","Asia & Oceania","2004",3570.71937
"318","Asia & Oceania","2005",3609.62956
"319","Asia & Oceania","2006",3648.16942
"320","Asia & Oceania","2007",3686.3589
"321","Asia & Oceania","2008",3724.32335
"322","Asia & Oceania","2009",3762.16099
"323","Asia & Oceania","2010",3799.67028
"324","Australia","1980",14.6159
"325","Australia","1981",14.92326
"326","Australia","1982",15.16178
"327","Australia","1983",15.34807
"328","Australia","1984",15.51048
"329","Australia","1985",15.69524
"330","Australia","1986",15.90042
"331","Australia","1987",16.13672
"332","Australia","1988",16.40073
"333","Australia","1989",16.6806
"334","Australia","1990",16.95624
"335","Australia","1991",17.20212
"336","Australia","1992",17.41893
"337","Australia","1993",17.6078
"338","Australia","1994",17.78109
"339","Australia","1995",17.97563
"340","Australia","1996",18.19585
"341","Australia","1997",18.41526
"342","Australia","1998",18.62084
"343","Australia","1999",18.83025
"344","Australia","2000",19.05319
"345","Australia","2001",19.29426
"346","Australia","2002",19.53494
"347","Australia","2003",19.76654
"348","Australia","2004",19.99508
"349","Australia","2005",20.23235
"350","Australia","2006",20.48947
"351","Australia","2007",20.74963
"352","Australia","2008",21.00731
"353","Australia","2009",21.26264
"354","Australia","2010",21.51575
"355","Austria","1980",7.54943
"356","Austria","1981",7.56463
"357","Austria","1982",7.57461
"358","Austria","1983",7.5529
"359","Austria","1984",7.55413
"360","Austria","1985",7.55978
"361","Austria","1986",7.56824
"362","Austria","1987",7.5789
"363","Austria","1988",7.59979
"364","Austria","1989",7.62786
"365","Austria","1990",7.72295
